#   Pokémon     Location                                        Caught  Owned

001 Bulbasaur   Route 9 (handout)                                   _   _
002 Ivysaur     <Lv16>                                          _   _
003 Venusaur    <Lv32>                                          _   _
004 Charmander  Rock Tunnel (handout)                                   _   _
005 Charmeleon  <Lv16>                                          _   _
006 Charizard   <Lv36>                                          _   _
007 Squirtle    Vermillion City (handout)                               _   _
008 Wartortle   <Lv16>                                          _   _
009 Blastoise   <Lv36>                                          _   _
010 Caterpie    Viridian Forest                                     _   _
011 Metapod     <Lv07> Viridian Forest                                  _   _
012 Butterfree  <Lv10> Celadon City, Pattern Bush                           _   _
013 Weedle      Viridian Forest                                     _   _
014 Kakuna      <Lv07> Viridian Forest                                  _   _
015 Beedrill    <Lv10> Celadon City, Pattern Bush                           _   _
016 Pidgey      Rts 1, 2, Viridian Forest, 4, Cerulean City, 5, 6, Vermilion City, 8, 12, 13, 15 ...    _   _
017 Pidgeotto   <Lv18> Viridian Forest, Rts 8, 12, 13, Bond Bridge, Five Isle Meadow            _   _
018 Pidgeot     <Lv36> Bond Bridge, Five Isle Meadow                            _   _
019 Rattata     Rts 1, 22, 16, Pokemon Mansion (F1)                         _   _
020 Raticate    <Lv20> Rts 16, 17, 18, Pokemon Mansion (F1, F2, F3)                 _   _
021 Spearow     Rts 10, 11, 17, Treasure Beach, Mt. Ember, Cape Brink, Ruin Valley, Canyon Entrance _   _
022 Fearow      <Lv20> Rts 16, 18, 23, Treasure Beach, Cape Brink, Bond Bridge, Seavault Canyon     _   _
023 Ekans       Rts 4, 10, 11, Safari Zone (center)                         _   _
024 Arbok       <Lv22> Route 23, Victory Road (F3)                          _   _
025 Pikachu     <Happy> Viridian Forest, Route 4, Power Plant                       _   _
026 Raichu      <Thunder Stone> Cerulean Cave (B2)                          _   _
027 Sandshrew   Route 4, Safari Zone (east)                             _   _
028 Sandslash   <Lv22> Victory Road (F2, F3)                                _   _
029 Nidoran (F) Route 1                                         _   _
030 Nidorina    <Lv16> Safari Zone (west)                               _   _
031 Nidoqueen   <Moon Stone>                                        _   _
032 Nidoran (M) Route 1                                         _   _
033 Nidorino    <Lv16> Safari Zone (west)                               _   _
